attendance,avg-attendance
60.0,59.95967742
60.0,59.95983936
60.0,59.96
60.0,59.96015936
60.0,59.96031746
60.0,59.96047431
60.0,59.96062992
60.0,59.96078431
60.0,59.9609375
60.0,59.96108949
60.0,59.96124031
60.0,59.96138996
60.0,59.96153846
60.0,59.96168582
60.0,59.96183206
60.0,59.96197719
60.0,59.96212121
60.0,59.96226415
60.0,59.96240602
60.0,59.96254682
60.0,59.96268657
60.0,59.96282528
60.0,59.96296296
60.0,59.96309963
60.0,59.96323529
60.0,59.96336996
60.0,59.96350365
60.0,59.96363636
60.0,59.96376812
60.0,59.96389892
60.0,59.96402878
60.0,59.96415771
60.0,59.96428571
60.0,59.96441281
60.0,59.96453901
60.0,59.96466431
60.0,59.96478873
60.0,59.96491228
60.0,59.96503497
60.0,59.96515679
60.0,59.96527778
60.0,59.96539792
60.0,59.96551724
60.0,59.96563574
60.0,59.96575342
60.0,59.96587031
60.0,59.96598639
60.0,59.96610169
60.0,59.96621622
60.0,59.96632997
60.0,59.96644295
60.0,59.96655518
60.0,59.96666667
60.0,59.96677741
60.0,59.96688742
60.0,59.9669967
60.0,59.96710526
60.0,59.96721311
60.0,59.96732026
60.0,59.96742671
60.0,59.96753247
60.0,59.96763754
60.0,59.96774194
60.0,59.96784566
60.0,59.96794872
60.0,59.96805112
60.0,59.96815287
60.0,59.96825397
60.0,59.96835443
60.0,59.96845426
60.0,59.96855346
60.0,59.96865204
60.0,59.96875
60.0,59.96884735
60.0,59.9689441
60.0,59.96904025
60.0,59.9691358
60.0,59.96923077
60.0,59.96932515
60.0,59.96941896
60.0,59.9695122
60.0,59.96960486
60.0,59.96969697
60.0,59.96978852
60.0,59.96987952
60.0,59.96996997
60.0,59.97005988
60.0,59.97014925
60.0,59.9702381
60.0,59.97032641
60.0,59.9704142
60.0,59.97050147
60.0,59.97058824
60.0,59.97067449
60.0,59.97076023
60.0,59.97084548
60.0,59.97093023
60.0,59.97101449
60.0,59.97109827
60.0,59.97118156
60.0,59.97126437
60.0,59.9713467
60.0,59.97142857
60.0,59.97150997
60.0,59.97159091
60.0,59.97167139
60.0,59.97175141
60.0,59.97183099
60.0,59.97191011
60.0,59.9719888
60.0,59.97206704
60.0,59.97214485
60.0,59.97222222
60.0,59.97229917
60.0,59.97237569
60.0,59.97245179
60.0,59.97252747
60.0,59.97260274
60.0,59.9726776
60.0,59.97275204
60.0,59.97282609
60.0,59.97289973
60.0,59.97297297
60.0,59.97304582
60.0,59.97311828
60.0,59.97319035
60.0,59.97326203
60.0,59.97333333
60.0,59.97340426
60.0,59.9734748
60.0,59.97354497
60.0,59.97361478
60.0,59.97368421
60.0,59.97375328
60.0,59.97382199
60.0,59.97389034
60.0,59.97395833
60.0,59.97402597
60.0,59.97409326
60.0,59.97416021
60.0,59.9742268
60.0,59.97429306
60.0,59.97435897
60.0,59.97442455
60.0,59.9744898
60.0,59.97455471
60.0,59.97461929
60.0,59.97468354
60.0,59.97474747
60.0,59.97481108
60.0,59.97487437
60.0,59.97493734
60.0,59.975
60.0,59.97506234
60.0,59.97512438
60.0,59.9751861
60.0,59.97524752
60.0,59.97530864
60.0,59.97536946
60.0,59.97542998
